DevelopmentName,RecordId,FB-ID,ProductType,Latitude,Longitude
Royal Wootton Bassett,a1s0O000002z5DKQAY,,Retirement Living,51.55706,-1.90205
"Rugby, Bilton Road",a1s3X000002XXydQAG,,Retirement Living Plus,52.36966,-1.2697
Rutherford House,a1s0O000002z4ufQAA,,Retirement Living Plus,51.6053136,-0.5593328
Ryland Place,a1s0O000002z4vMQAQ,,Retirement Living Plus,52.4702476,-1.9429309
Saffron Walden,a1s3X000002sfcJQAQ,,Retirement Living Plus,52.021918,0.2597546
Saffron Walden,a1s3X000002XPjCQAW,,Retirement Living Plus,52.021918,0.2597546
Salisbury Houses,a1s0O0000039dQMQAY,,Lifestyle Living,51.07186,-1.79484
Saxon Gardens,a1s0O000002z5CrQAI,,Retirement Living Plus,52.6688,-0.73402
Scott Place,a1s0O000002z4mBQAQ,,Retirement Living,52.68482,-1.82606
Scudamore Place,a1s0O000002z57eQAA,,Retirement Living,51.85916,-2.25761
"Seaford, Crouch Lane",a1s3X000002XLFxQAO,,Retirement Living,50.7703,0.10432
Selby,a1s3X000002XLFmQAO,,Retirement Living,53.77701,-1.07981
Seymour Court,a1s0O000002z4uOQAQ,,Retirement Living,54.97746,-1.42204
Shackleton Place,a1s0O000002z4m5QAA,,Retirement Living Plus,51.3549856,-2.0059247
Shepheard's House,a1s0O000002z4uLQAQ,,Retirement Living Plus,51.4091,0.0772
Shifnal,a1s3X000002XVJcQAO,,Retirement Living Plus,52.66749,-2.36757
Shilling Place,a1s0O000002z5D8QAI,,Retirement Living,50.8674,-1.0446
South Molton (aborted),a1s0O000002gvHrQAI,,Retirement Living,51.02749,-3.84859
Southborough Gate,a1s0O000002z5CvQAI,,Retirement Living,51.158759,0.259716
Southsea,a1s0O000002gvHtQAI,,Retirement Living Plus,50.784131,-1.092579
Sovereign Court,a1s0O000002z4vwQAA,,Lifestyle Living,53.98118,-0.92036
Springs Court,a1s0O000002z5AQQAY,,Retirement Living Plus,53.78476,-0.41897
"St Ives, London Road",a1s3X000002XVJXQA4,,Retirement Living,52.31732,-0.08057
Staithe Gardens,a1s3X000002XLG6QAO,,Retirement Living,52.77018,1.51631
"Stakesby Road, Whitby",a1s0O000002mVqaQAE,,Retirement Living Plus,54.48667,-0.63108
Standish RLP,a1s0O000002z5BKQAY,,Retirement Living Plus,53.5850801,-2.661915
Stanley Gardens,a1s0O000002z5B8QAI,,Retirement Living,53.89735,-2.78277
Stanley Place,a1s0O000002z5ApQAI,,Retirement Living,53.89735,-2.78277
Stapleton Court,a1s0O000002z4m6QAA,,Retirement Living,53.73727,-0.49174
Stockbridge,a1s0O0000039cf4QAA,,Retirement Living,51.11416,-1.4934
Stone,a1s0O000002z5OBQAY,,Retirement Living,52.90166,-2.14758
Stow on the Wold,a1s0O000002z5BGQAY,,Lifestyle Living,51.92917,-1.72451
Studley,a1s3X000002XLFVQA4,,Retirement Living,52.274,-1.89559
Summerfield Place,a1s0O000002z4mCQAQ,,Retirement Living,52.6972361,-2.7271026
Swift House,a1s0O000002z4vuQAA,,Retirement Living Plus,51.5253,-0.7261
Swinden Court,a1s0O000002z4m7QAA,,Retirement Living,54.52687,-1.56575
Sycamore Court,a1s0O000002z5BCQAY,,Retirement Living Plus,54.26894,-0.39992
Tadley,a1s0O000002z5BEQAY,,Retirement Living,51.3486021,-1.1410821
Taunton,a1s0O000002z5BDQAY,,Retirement Living Plus,51.0124415,-3.0918744
The Apartments at Royal Gardens,a1s0O000002z56UQAQ,,Retirement Living,51.9586027,-0.0254836
The Boathouse,a1s0O000002z5LtQAI,,Retirement Living,50.924113,-1.376998
The Cedars,a1s0O000002z5DjQAI,,Retirement Living,53.01856,-2.76338
The Close,a1s0O000002z5E1QAI,,Retirement Living,52.52222,-1.46518
The Dairy,a1s0O000002z4vCQAQ,,Retirement Living Plus,51.1426498,0.2596861
The Oaks,a1s0O000002z5A1QAI,,Retirement Living,53.0931799,-2.30445
The Wickets,a1s0O000002z4usQAA,,Retirement Living,54.06888,-2.28136
Thirsk 2,a1s0O000002z4yVQAQ,,Retirement Living,54.23507,-1.33859
Thorneycroft,a1s0O000002z4v2QAA,,Retirement Living Plus,52.5944999,-2.17149
Topsham,a1s3X000002XLG1QAO,,Retirement Living Plus,50.68928,-3.47241
Torquay (Assisted Living),a1s0O000002z5LcQAI,,Retirement Living Plus,50.47222,-3.54148
Torquay (later Living),a1s0O000002z5LdQAI,,Retirement Living,50.47222,-3.54148
Trinity Place,a1s0O000002z4uMQAQ,,Retirement Living,51.6523258,-0.7131252
Tumbling Weir Court,a1s0O000002z5LeQAI,,Retirement Living,50.7513,-3.2851
Turner Place,a1s0O000002z57LQAQ,,Retirement Living,51.4022718,-1.2550403
Tyefield Place,a1s0O000002z57TQAQ,,Retirement Living,52.045677,0.9519638
Uplands Place,a1s0O000002z5ABQAY,,Retirement Living,52.2155,-0.06883
Wallingford,a1s3X000002XVJvQAO,,Retirement Living,51.59106,-1.12894
"Walter House, Chelmsford RL",a1s0O000002z5ADQAY,,Retirement Living,51.7380269,0.4633754
"Ware, Baldock Street",a1s0O000002z57VQAQ,,Retirement Living,51.8126,-0.03449
"Ware, London Road",a1s0O000002z57SQAQ,,Retirement Living,51.80471,-0.02579
Warminster,a1s3X000002XLFyQAO,,Retirement Living,51.2078,-2.18165
Watson Place,a1s0O000002z4udQAA,,Retirement Living Plus,51.94312,-1.53577
Wayfarer Place,a1s0O000002z57UQAQ,,Retirement Living Plus,51.0907306,-1.166528
West Bridgford RL/RP,a1s3X0000048ET6QAM,,Retirement Living Plus,52.93122,-1.12742
"Westcroft, Milton Keynes",a1s3X000002XLFhQAO,,Retirement Living,52.0041,-0.79399
"Weybridge, Balfour Road",a1s3X000002Xd07QAC,,Retirement Living,51.37059,-0.4617
"Weybridge, St Georges Avenue & Queens Road",a1s0O000002z57cQAA,,Retirement Living,51.36438,-0.44762
Whalley,a1s0O000002z57dQAA,,Lifestyle Living,53.81176,-2.38735
"Wheatley Place, Shirley",a1s0O000002z5CuQAI,,Retirement Living Plus,52.419489,-1.8324787
Whitaker Grange,a1s3X000002XLFNQA4,,Retirement Living Plus,53.678943,-1.5782662
Whitelock Grange,a1s0O000002z57GQAQ,,Retirement Living,53.86364,-1.84801
Wick,a1s0O000002z57ZQAQ,,Retirement Living,50.72862,-1.78478
"Willaston, Hooton Road",a1s0O000002z57aQAA,,Retirement Living,53.29329,-3.00258
William Bradford Court,a1s0O000002z4utQAA,,Retirement Living,53.4304599,-1.02358
William Grange,a1s0O000002z58BQAQ,,Retirement Living,52.05539,-2.72142
William House,a1s0O000002z57KQAQ,,Retirement Living Plus,51.402143,-1.255041
Williams Place,a1s0O000002z5JLQAY,,Retirement Living Plus,51.605028,-1.272567
Williamson Court,a1s0O000002z5JRQAY,,Retirement Living Plus,54.0376043,-2.7958532
Willoughby Place,a1s0O000002z4vrQAA,,Retirement Living,51.88827,-1.75563
Wimborne Bungalows,a1s3X000002sfcDQAQ,,Retirement Living Plus,50.7949,-1.97593
